From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
NLRP1	A0A8V8TQL0	unreviewed	A0A8V8TQL0_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	144				16625196
NLRP1	I3L0S2	unreviewed	I3L0S2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	35				16625196
NLRP1	Q96AM0	unreviewed	Q96AM0_HUMAN	NLRP1 protein	NLRP1	Homo sapiens (Human)	146				15489334
TEX50	A0A1B0GTY4	reviewed	TEX50_HUMAN	Testis-expressed protein 50	TEX50	Homo sapiens (Human)	177		membrane [GO:0016020]	GO:0016020	16710414
MRPS26	Q9BYN8	reviewed	RT26_HUMAN	28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt) (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (Mitochondrial small ribosomal subunit protein mS26)	MRPS26 C20orf193 RPMS13	Homo sapiens (Human)	205	mitochondrial translation [GO:0032543]	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; mitochondrial translation [GO:0032543]	GO:0003723; GO:0005654; GO:0005739; GO:0005743; GO:0005763; GO:0032543	11780052; 15489334; 11543634; 11279123; 21269460; 25944712; 25838379
AFAP1	Q8N556	reviewed	AFAP1_HUMAN	Actin filament-associated protein 1 (110 kDa actin filament-associated protein) (AFAP-110)	AFAP1 AFAP	Homo sapiens (Human)	730	regulation of cytoskeleton organization [GO:0051493]; regulation of signal transduction [GO:0009966]	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; actin binding [GO:0003779]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; regulation of cytoskeleton organization [GO:0051493]; regulation of signal transduction [GO:0009966]	GO:0003779; GO:0005829; GO:0005925; GO:0009966; GO:0015629; GO:0017124; GO:0042169; GO:0051493	15485829; 14702039; 15815621; 15489334; 17081983; 17520695; 17885682; 18669648; 20068231; 21406692; 22814378; 23186163; 24275569
AFAP1	A0A087X177	unreviewed	A0A087X177_HUMAN	Actin filament-associated protein 1	AFAP1	Homo sapiens (Human)	92	regulation of cytoskeleton organization [GO:0051493]; regulation of signal transduction [GO:0009966]	regulation of cytoskeleton organization [GO:0051493]; regulation of signal transduction [GO:0009966]	GO:0009966; GO:0051493	15815621
CT45A5	P0DMU8	reviewed	CT455_HUMAN	Cancer/testis antigen family 45 member A5 (Cancer/testis antigen 45-5) (Cancer/testis antigen 45A5)	CT45A5 CT45-5	Homo sapiens (Human)	189	snRNA 3'-end processing [GO:0034472]	integrator complex [GO:0032039]; snRNA 3'-end processing [GO:0034472]	GO:0032039; GO:0034472	15905330; 15772651
DBN1	Q16643	reviewed	DREB_HUMAN	Drebrin (Developmentally-regulated brain protein)	DBN1 D0S117E	Homo sapiens (Human)	649	actin filament organization [GO:0007015]; cell communication by chemical coupling [GO:0010643]; cell communication by electrical coupling [GO:0010644]; cytoplasmic sequestering of protein [GO:0051220]; in utero embryonic development [GO:0001701]; maintenance of protein location in cell [GO:0032507]; neural precursor cell proliferation [GO:0061351]; neuron projection morphogenesis [GO:0048812]; positive regulation of axon extension [GO:0045773]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of synaptic plasticity [GO:0031915]; postsynaptic actin cytoskeleton organization [GO:0098974]; regulation of actin filament polymerization [GO:0030833]; regulation of dendrite development [GO:0050773]; regulation of neuronal synaptic plasticity [GO:0048168]	actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; cortical actin cytoskeleton [GO:0030864]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; gap junction [GO:0005921]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; postsynaptic cytosol [GO:0099524]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; site of polarized growth [GO:0030427]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; profilin binding [GO:0005522]; actin filament organization [GO:0007015]; cell communication by chemical coupling [GO:0010643]; cell communication by electrical coupling [GO:0010644]; cytoplasmic sequestering of protein [GO:0051220]; in utero embryonic development [GO:0001701]; maintenance of protein location in cell [GO:0032507]; neural precursor cell proliferation [GO:0061351]; neuron projection morphogenesis [GO:0048812]; positive regulation of axon extension [GO:0045773]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of synaptic plasticity [GO:0031915]; postsynaptic actin cytoskeleton organization [GO:0098974]; regulation of actin filament polymerization [GO:0030833]; regulation of dendrite development [GO:0050773]; regulation of neuronal synaptic plasticity [GO:0048168]	GO:0001701; GO:0003779; GO:0005522; GO:0005737; GO:0005856; GO:0005886; GO:0005921; GO:0007015; GO:0010643; GO:0010644; GO:0014069; GO:0015629; GO:0030027; GO:0030425; GO:0030426; GO:0030427; GO:0030833; GO:0030863; GO:0030864; GO:0031915; GO:0032507; GO:0042641; GO:0045211; GO:0045296; GO:0045773; GO:0048168; GO:0048812; GO:0050773; GO:0051015; GO:0051220; GO:0061003; GO:0061351; GO:0098974; GO:0098978; GO:0099524; GO:1902685	8216329; 14702039; 17974005; 15372022; 15489334; 12665801; 8838578; 17081983; 18220336; 18088087; 18669648; 19413330; 19690332; 20215400; 20068231; 21269460; 21406692; 23186163; 24275569; 16959974; 28966017
DBN1	A0A2Z6ATB6	unreviewed	A0A2Z6ATB6_HUMAN	Drebrin A	DBN1	Homo sapiens (Human)	695	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	
DBN1	B3KSQ7	unreviewed	B3KSQ7_HUMAN	Drebrin 1, isoform CRA_d (cDNA FLJ36806 fis, clone ASTRO1000165, highly similar to Drebrin)	DBN1 hCG_2039393	Homo sapiens (Human)	599	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	11181995; 14702039
DBN1	D6R9Q9	unreviewed	D6R9Q9_HUMAN	Drebrin	DBN1	Homo sapiens (Human)	391	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	15372022; 17081983; 18088087; 18220336; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569
DBN1	D6R9W4	unreviewed	D6R9W4_HUMAN	Drebrin	DBN1	Homo sapiens (Human)	317	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	15372022; 17081983; 18088087; 18669648; 19413330; 20068231; 21269460; 21406692; 23186163; 24275569
DBN1	D6RCR4	unreviewed	D6RCR4_HUMAN	Drebrin	DBN1	Homo sapiens (Human)	93	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	15372022; 17081983; 18088087; 18669648; 20068231; 21406692; 23186163; 24275569
DBN1	D6RFI1	unreviewed	D6RFI1_HUMAN	Drebrin	DBN1	Homo sapiens (Human)	124	actin filament organization [GO:0007015]	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	15372022; 19413330; 21269460
PKDREJ	Q9NTG1	reviewed	PKDRE_HUMAN	Polycystin family receptor for egg jelly (PKD and REJ homolog) (Polycystic kidney disease and receptor for egg jelly-related protein)	PKDREJ	Homo sapiens (Human)	2253	acrosome reaction [GO:0007340]; detection of mechanical stimulus [GO:0050982]	membrane [GO:0016020]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; acrosome reaction [GO:0007340]; detection of mechanical stimulus [GO:0050982]	GO:0005262; GO:0005509; GO:0007340; GO:0016020; GO:0050982	9949214; 10591208; 17974005; 11698076; 16959974
NTHL1	P78549	reviewed	NTH_HUMAN	Endonuclease III-like protein 1 (hNTH1) (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTHL1 NTH1 OCTS3	Homo sapiens (Human)	312	base-excision repair, AP site formation [GO:0006285]; depyrimidination [GO:0045008]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA N-glycosylase activity [GO:0019104]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]; base-excision repair, AP site formation [GO:0006285]; depyrimidination [GO:0045008]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]	GO:0000703; GO:0003684; GO:0003690; GO:0003906; GO:0004519; GO:0005634; GO:0005654; GO:0005739; GO:0006285; GO:0006289; GO:0006296; GO:0008534; GO:0019104; GO:0045008; GO:0046872; GO:0051539; GO:0140078	8990169; 9831664; 15616553; 9705289; 9045706; 15489334; 10882850; 12144783; 9611236; 9890904; 9927729; 11380260; 11695910; 11287425; 11328882; 12531031; 12140329; 12519758; 14734554; 15533839; 17923696; 18669648; 20005182; 20110254; 20068231; 21930793; 21406692; 23186163; 24275569; 25938944
NTHL1	A0A494BZZ6	unreviewed	A0A494BZZ6_HUMAN	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)	NTHL1	Homo sapiens (Human)	208	base-excision repair, AP site formation [GO:0006285]	nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA N-glycosylase activity [GO:0019104]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; base-excision repair, AP site formation [GO:0006285]	GO:0003677; GO:0003906; GO:0005634; GO:0006285; GO:0016829; GO:0019104; GO:0046872; GO:0051539	15616553
NTHL1	A0A494C106	unreviewed	A0A494C106_HUMAN	Endonuclease III-like protein 1	NTHL1	Homo sapiens (Human)	232	base-excision repair [GO:0006284]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; base-excision repair [GO:0006284]	GO:0003677; GO:0006284; GO:0016798; GO:0046872; GO:0051539	15616553
NTHL1	E5KTI5	unreviewed	E5KTI5_HUMAN	Endonuclease III-like protein 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTHL1 hCG_1989994	Homo sapiens (Human)	312	base-excision repair, AP site formation [GO:0006285]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]; base-excision repair, AP site formation [GO:0006285]	GO:0000703; GO:0003677; GO:0004519; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078	11181995; 20843780
NTHL1	H3BPD5	unreviewed	H3BPD5_HUMAN	Endonuclease III-like protein 1	NTHL1	Homo sapiens (Human)	236	base-excision repair [GO:0006284]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; base-excision repair [GO:0006284]	GO:0003677; GO:0006284; GO:0016798; GO:0046872; GO:0051539	15616553; 18669648; 20068231; 21406692; 23186163; 24275569
NTHL1	H3BRL9	unreviewed	H3BRL9_HUMAN	Endonuclease III-like protein 1	NTHL1	Homo sapiens (Human)	218	base-excision repair [GO:0006284]	DNA binding [GO:0003677]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; base-excision repair [GO:0006284]	GO:0003677; GO:0006284; GO:0016798	15616553; 18669648; 20068231; 21406692; 23186163
NTHL1	H3BUV2	unreviewed	H3BUV2_HUMAN	Endonuclease III-like protein 1	NTHL1	Homo sapiens (Human)	100				15616553; 20068231; 21406692; 23186163; 24275569
HINT1	P49773	reviewed	HINT1_HUMAN	Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)	HINT1 HINT PKCI1 PRKCNH1	Homo sapiens (Human)	126	intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; positive regulation of calcium-mediated signaling [GO:0050850]; protein desumoylation [GO:0016926]; purine ribonucleotide catabolic process [GO:0009154]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; adenosine 5'-monophosphoramidase activity [GO:0043530]; deSUMOylase activity [GO:0016929]; hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]; protein kinase C binding [GO:0005080]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; positive regulation of calcium-mediated signaling [GO:0050850]; protein desumoylation [GO:0016926]; purine ribonucleotide catabolic process [GO:0009154]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]	GO:0000118; GO:0000166; GO:0005080; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006355; GO:0007165; GO:0009154; GO:0016787; GO:0016926; GO:0016929; GO:0043530; GO:0050850; GO:0070062; GO:0072332	8812426; 7644499; 14702039; 15489334; 8643579; 12665801; 9770345; 10958787; 15703176; 16014379; 16835243; 17337452; 17217311; 19112177; 19608861; 21269460; 22647378; 22814378; 23614568; 24275569; 28691797; 29787766; 31088288; 30772266; 31990367; 9323207; 22869114; 22329685; 22961002
HINT1	A0A384NPU2	unreviewed	A0A384NPU2_HUMAN	Epididymis secretory sperm binding protein (Histidine triad nucleotide binding protein 1)	HINT1 hCG_23479	Homo sapiens (Human)	126	positive regulation of calcium-mediated signaling [GO:0050850]; protein desumoylation [GO:0016926]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; deSUMOylase activity [GO:0016929]; nucleotide binding [GO:0000166]; positive regulation of calcium-mediated signaling [GO:0050850]; protein desumoylation [GO:0016926]	GO:0000166; GO:0005654; GO:0005829; GO:0005886; GO:0016926; GO:0016929; GO:0050850	11181995
HINT1	A0A6Q8PGQ8	unreviewed	A0A6Q8PGQ8_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	109		catalytic activity [GO:0003824]	GO:0003824	15372022
HINT1	D6RC06	unreviewed	D6RC06_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	65				15372022; 19608861; 21269460; 22814378
HINT1	D6RD60	unreviewed	D6RD60_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	103		catalytic activity [GO:0003824]	GO:0003824	15372022; 19608861; 21269460; 22814378; 24275569
HINT1	D6RE99	unreviewed	D6RE99_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	78		catalytic activity [GO:0003824]	GO:0003824	15372022; 19608861; 21269460; 22814378; 24275569
HINT1	D6REP8	unreviewed	D6REP8_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	78		catalytic activity [GO:0003824]	GO:0003824	15372022; 19608861; 21269460; 22814378; 24275569
HINT1	H0YC49	unreviewed	H0YC49_HUMAN	Adenosine 5'-monophosphoramidase HINT1	HINT1	Homo sapiens (Human)	91		catalytic activity [GO:0003824]	GO:0003824	15372022; 24275569
SEMA5B	Q9P283	reviewed	SEM5B_HUMAN	Semaphorin-5B	SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001	Homo sapiens (Human)	1151	axon extension [GO:0048675]; axon guidance [GO:0007411]; detection of light stimulus involved in visual perception [GO:0050908]; negative regulation of axon extension involved in axon guidance [GO:0048843]; neural crest cell migration [GO:0001755]; positive regulation of cell migration [GO:0030335]; semaphorin-plexin signaling pathway [GO:0071526]	membrane [GO:0016020]; chemorepellent activity [GO:0045499]; semaphorin receptor binding [GO:0030215]; axon extension [GO:0048675]; axon guidance [GO:0007411]; detection of light stimulus involved in visual perception [GO:0050908]; negative regulation of axon extension involved in axon guidance [GO:0048843]; neural crest cell migration [GO:0001755]; positive regulation of cell migration [GO:0030335]; semaphorin-plexin signaling pathway [GO:0071526]	GO:0001755; GO:0007411; GO:0016020; GO:0030215; GO:0030335; GO:0045499; GO:0048675; GO:0048843; GO:0050908; GO:0071526	10819331; 12975309; 14702039; 16641997; 15489334; 16959974
SEMA5B	A0A3B3IRP9	unreviewed	A0A3B3IRP9_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	1117	cell differentiation [GO:0030154]	membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]; cell differentiation [GO:0030154]	GO:0016020; GO:0030154; GO:0030215	16641997
SEMA5B	A0A3B3IT43	unreviewed	A0A3B3IT43_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	1092	cell differentiation [GO:0030154]; nervous system development [GO:0007399]	membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0007399; GO:0016020; GO:0030154; GO:0030215	16641997
SEMA5B	B5ME80	unreviewed	B5ME80_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	1088	cell differentiation [GO:0030154]; nervous system development [GO:0007399]	membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0007399; GO:0016020; GO:0030154; GO:0030215	16641997
SEMA5B	C9JKR3	unreviewed	C9JKR3_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	1057	cell differentiation [GO:0030154]; nervous system development [GO:0007399]	membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0007399; GO:0016020; GO:0030154; GO:0030215	16641997
SEMA5B	C9JTV9	unreviewed	C9JTV9_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	142		semaphorin receptor binding [GO:0030215]	GO:0030215	16641997
SEMA5B	C9JTX2	unreviewed	C9JTX2_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	84				16641997
SEMA5B	F8WAT5	unreviewed	F8WAT5_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	1094	cell differentiation [GO:0030154]; nervous system development [GO:0007399]	membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0007399; GO:0016020; GO:0030154; GO:0030215	16641997
SEMA5B	H0Y5U2	unreviewed	H0Y5U2_HUMAN	Semaphorin-5B	SEMA5B	Homo sapiens (Human)	197		membrane [GO:0016020]; semaphorin receptor binding [GO:0030215]	GO:0016020; GO:0030215	16641997
EFNB3	Q15768	reviewed	EFNB3_HUMAN	Ephrin-B3 (EPH-related receptor transmembrane ligand ELK-L3) (EPH-related receptor tyrosine kinase ligand 8) (LERK-8)	EFNB3 EPLG8 LERK8	Homo sapiens (Human)	340	adult walking behavior [GO:0007628]; axon choice point recognition [GO:0016198]; axon guidance [GO:0007411]; cell-cell signaling [GO:0007267]; ephrin receptor signaling pathway [GO:0048013]; negative regulation of axonogenesis [GO:0050771]; nervous system development [GO:0007399]; positive regulation of presynapse assembly [GO:1905608]; positive regulation of synaptic transmission [GO:0050806]; T cell costimulation [GO:0031295]; trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission [GO:0099557]	glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; presynaptic membrane [GO:0042734]; ephrin receptor binding [GO:0046875]; transmembrane-ephrin receptor activity [GO:0005005]; virus receptor activity [GO:0001618]; adult walking behavior [GO:0007628]; axon choice point recognition [GO:0016198]; axon guidance [GO:0007411]; cell-cell signaling [GO:0007267]; ephrin receptor signaling pathway [GO:0048013]; negative regulation of axonogenesis [GO:0050771]; nervous system development [GO:0007399]; positive regulation of presynapse assembly [GO:1905608]; positive regulation of synaptic transmission [GO:0050806]; T cell costimulation [GO:0031295]; trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission [GO:0099557]	GO:0001618; GO:0005005; GO:0005886; GO:0007267; GO:0007399; GO:0007411; GO:0007628; GO:0016198; GO:0031295; GO:0042734; GO:0046875; GO:0048013; GO:0050771; GO:0050806; GO:0098686; GO:0098839; GO:0098978; GO:0099557; GO:1905608	9126477; 8808709; 14702039; 15489334; 15340161; 10197531; 16477309; 17376907; 24275569
